epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.688,1.29658,3.21502,1.5434,0.87874,0.05454,0.33872,0.18688,1.27505,3.78808,1.61484,0.000410354,0.000410354,0.000410354
2,663.11,1.41749,2.47591,1.60986,0.24473,0.31801,0.29079,0.15444,1.6576,3.61391,1.98527,0.000810645,0.000810645,0.000810645
3,1013.05,1.54418,2.38786,1.70911,0.21801,0.21369,0.13824,0.07497,1.94242,3.92514,2.17493,0.00119444,0.00119444,0.00119444
4,1364.72,1.56551,2.27738,1.71448,0.39179,0.27254,0.22478,0.11612,1.87956,3.14635,2.16871,0.00117575,0.00117575,0.00117575
5,1725.59,1.52546,2.14487,1.69855,0.62712,0.29357,0.3513,0.21458,1.43867,2.87169,1.8376,0.001151,0.001151,0.001151
6,2072.07,1.49595,1.98819,1.65909,0.30363,0.34643,0.37965,0.24698,1.33845,2.21167,1.61217,0.00112625,0.00112625,0.00112625
7,2365.23,1.43218,1.84276,1.60992,0.60376,0.50685,0.56091,0.35351,1.35197,1.9849,1.60471,0.0011015,0.0011015,0.0011015
8,2645.48,1.4534,1.81933,1.64351,0.64616,0.51538,0.52832,0.32587,1.42263,1.79806,1.66151,0.00107675,0.00107675,0.00107675
9,2926.83,1.38482,1.66256,1.56691,0.6592,0.48283,0.52026,0.32777,1.35302,1.7492,1.64239,0.001052,0.001052,0.001052
10,3236.78,1.36916,1.56111,1.55037,0.78634,0.56012,0.65022,0.41247,1.2833,1.55873,1.59503,0.00102725,0.00102725,0.00102725
11,3527.21,1.34936,1.52067,1.55166,0.82202,0.59334,0.6693,0.4308,1.24098,1.36032,1.49702,0.0010025,0.0010025,0.0010025
12,3809.5,1.34803,1.45808,1.53382,0.62751,0.55135,0.59565,0.40928,1.28093,1.41003,1.55327,0.00097775,0.00097775,0.00097775
13,4085.13,1.33706,1.43264,1.5116,0.60328,0.60396,0.597,0.39391,1.27341,1.30763,1.54906,0.000953,0.000953,0.000953
14,45008.8,1.26316,1.35367,1.46946,0.6468,0.53701,0.6221,0.40612,1.21225,1.31899,1.49063,0.00092825,0.00092825,0.00092825
15,45354.5,1.30707,1.41987,1.50789,0.7613,0.65254,0.69967,0.43845,1.31438,1.25917,1.54883,0.0009035,0.0009035,0.0009035
16,45680.6,1.25842,1.31226,1.4648,0.74278,0.60406,0.68453,0.44669,1.16791,1.13463,1.46573,0.00087875,0.00087875,0.00087875
17,46007.8,1.22573,1.29551,1.42875,0.73361,0.63969,0.67163,0.43461,1.20423,1.20799,1.52514,0.000854,0.000854,0.000854
18,48223.3,1.20857,1.25201,1.43709,0.75149,0.65948,0.69013,0.45066,1.22823,1.14891,1.47157,0.00082925,0.00082925,0.00082925
19,48500.3,1.21995,1.22073,1.4496,0.83225,0.66086,0.73966,0.49017,1.16808,1.00265,1.47988,0.0008045,0.0008045,0.0008045
20,48784.4,1.20572,1.17488,1.42698,0.67329,0.60517,0.67315,0.46104,1.13915,1.14644,1.45027,0.00077975,0.00077975,0.00077975
21,49067.6,1.18902,1.17945,1.4162,0.75761,0.61927,0.71871,0.49807,1.10186,1.11829,1.41033,0.000755,0.000755,0.000755
22,49351.7,1.1516,1.09427,1.38459,0.71415,0.6281,0.70573,0.47273,1.1279,1.04812,1.41427,0.00073025,0.00073025,0.00073025
23,49637.8,1.14489,1.11715,1.36998,0.71901,0.66949,0.7186,0.51451,1.05188,1.01602,1.37987,0.0007055,0.0007055,0.0007055
24,49927.1,1.12475,1.09571,1.37954,0.84284,0.61086,0.71005,0.48267,1.06485,0.98001,1.35248,0.00068075,0.00068075,0.00068075
25,50213.9,1.14309,1.06164,1.3809,0.80958,0.6796,0.73835,0.53396,1.03834,0.92548,1.35124,0.000656,0.000656,0.000656
26,50519.9,1.13354,1.08977,1.36567,0.77262,0.78259,0.80157,0.55624,1.13039,0.84419,1.38016,0.00063125,0.00063125,0.00063125
27,50852.4,1.09845,1.00603,1.35108,0.87959,0.68858,0.79725,0.54198,1.13568,0.88142,1.40625,0.0006065,0.0006065,0.0006065
